antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"CAM_Cluster=0, Global_reactive_power=Low",EDP_State=Lower,0.10052918110176266,0.5690866867171737,0.07683405032931054,0.7642959933348481,1.3430220934243893,1.0,0.019624231737717712,1.8281968108204225,0.2839565282177402,0.12961607131388642,0.4530129392626829,0.4496544522941885
"Voltage=VeryHigh, CAM_Cluster=0, Global_intensity=Low",EDP_State=Lower,0.07107016408421213,0.5690866867171737,0.05426580880953288,0.7635526033854725,1.341715807463521,1.0,0.01382072460640272,1.8224489651934306,0.27417106614055026,0.09262099079898115,0.4512877896178222,0.42945428298814303
CAM_Cluster=0,EDP_State=Lower,0.3454676971104428,0.5690866867171737,0.26365401454296267,0.7631799347615269,1.3410609535851157,1.0,0.06705294742656867,1.8195810935568537,0.3885549081405606,0.40506047773904497,0.4504229552939381,0.6132365870406556
Global_intensity=Low,EDP_State=Lower,0.24997906117942667,0.5690866867171737,0.19069554954886359,0.7628460905851177,1.3404743220855544,1.0,0.04843579387359401,1.817019649163687,0.3386510891294718,0.3034764380142256,0.449648219016087,0.5489683015775965
"Global_intensity=Low, Global_reactive_power=Medium",EDP_State=Lower,0.08038984276849279,0.5690866867171737,0.061164198423877866,0.7608448569804886,1.3369577513216637,1.0,0.015415409157041766,1.8018149551049818,0.27406527237568334,0.10396552170424248,0.4450040515166356,0.43416134019867747
"Global_reactive_power=VeryHigh, Global_intensity=Medium, Attention_Type=Early",EDP_State=Lower,0.06749914341188563,0.5690866867171737,0.051136406898389615,0.7575860124083474,1.331231304634007,1.0,0.012723543017872277,1.7775926115645675,0.26682628770824157,0.08734555859019377,0.4374414061499507,0.42372149257711494
"CAM_Cluster=0, Global_intensity=Medium",EDP_State=Lower,0.12122434994479765,0.5690866867171737,0.09169680587809799,0.7564223352804472,1.3291864893974865,1.0,0.0227096422185699,1.7691002735368433,0.28182406162691825,0.1531818008369478,0.4347409160698578,0.4587760517065326
"Voltage=VeryHigh, CAM_Cluster=0",EDP_State=Lower,0.13672669128564358,0.5690866867171737,0.10212814558190886,0.7469510497299103,1.3125435318804641,1.0,0.024318805852360098,1.7028852039215916,0.2758344374378997,0.16917449706754112,0.4127613548481778,0.4632053920061494
"Global_intensity=Low, Global_reactive_power=Low",EDP_State=Lower,0.10560779685536986,0.5690866867171737,0.07781627136711464,0.7368421052631579,1.2947800791364423,1.0,0.01771628016319185,1.6374705904747398,0.25455059561814763,0.13037210904312999,0.38930200895389677,0.4367904884164895
"Voltage=VeryHigh, Global_intensity=Low",EDP_State=Lower,0.08361061407850154,0.5690866867171737,0.06151444778619561,0.7357253437756125,1.2928177041352145,1.0,0.013932760445872897,1.6305510314123768,0.24716102639351972,0.10405316641551718,0.3867103937655947,0.42190931295495815
